,open,high,low,close,volume,value
2018-12-23 01:00:00+00:00,111.12,111.8,108.76984127,110.54,94.07045679,10371.26264058
2018-12-23 02:00:00+00:00,109.81,110.345,109.518332,110.17999998,80.33052486,8835.9035306
2018-12-23 03:00:00+00:00,110.18,111.8,110.18,111.8,157.63757825,17505.9929068
2018-12-23 04:00:00+00:00,111.59999994,112.27,111.0229184,112.15,304.53321188,34007.35307482
2018-12-23 05:00:00+00:00,111.66293117,114.0,111.66293117,113.23,280.17361377,31681.0844699
2018-12-23 06:00:00+00:00,113.42,114.13,113.42,113.52999997,183.61268104,20929.19035322
2018-12-23 07:00:00+00:00,113.33982094,113.33982094,111.0,112.28569371,390.1451485,43627.06271452
2018-12-23 08:00:00+00:00,112.48701183,115.31618993,112.48701183,115.10011335,293.18280237,33581.91951448
2018-12-23 09:00:00+00:00,114.72652969,123.33695534,114.72652969,123.0,2229.06450174,265969.38573683
2018-12-23 10:00:00+00:00,123.33695505,124.76455705,121.33,121.96,1158.39548839,142726.0255616
2018-12-23 11:00:00+00:00,122.43,124.91,121.44,123.98,531.42914681,65277.33503698
2018-12-23 12:00:00+00:00,124.12,129.59999999,123.93,127.87,3229.23017748,408930.23699822
2018-12-23 13:00:00+00:00,127.86,130.2,126.49304354,126.49304354,1445.54612553,186019.56044413
2018-12-23 14:00:00+00:00,126.11284778,128.63,125.21,127.57,1793.3899554,228324.07528334
2018-12-23 15:00:00+00:00,127.79,128.74999999,126.43,126.69,371.11882155,47171.23761036
2018-12-23 16:00:00+00:00,126.55,127.47209996,125.5,127.39,564.60818782,71321.54901621
2018-12-23 17:00:00+00:00,127.39,128.14,126.51,127.06,476.82373733,60943.58220961
2018-12-23 18:00:00+00:00,127.71444498,131.19,127.61444496,129.0,632.00592247,81689.73158546
2018-12-23 19:00:00+00:00,129.0,131.8,127.77,130.58,522.88355549,67998.93481652
2018-12-23 20:00:00+00:00,130.18385305,131.11000001,129.450414,129.54,285.71919631,37308.58616919
2018-12-23 21:00:00+00:00,129.54,129.86999997,126.63,128.22,810.0583678,103807.8729434
2018-12-23 22:00:00+00:00,127.84,129.31999997,127.68,127.85000001,1055.43790974,135156.26587493
2018-12-23 23:00:00+00:00,127.75,127.75,125.61,125.61,431.93961136,54711.03680371
2018-12-24 00:00:00+00:00,125.60659999,125.93,123.2,125.79,1529.11530777,190478.46560448
2018-12-24 01:00:00+00:00,124.53,128.68,124.53,127.3,146.7387736,18668.98254307
2018-12-24 02:00:00+00:00,127.09,128.04999995,126.12186592,127.38,223.89840409,28444.75433782
2018-12-24 03:00:00+00:00,127.33,128.55,126.85500005,127.96,69.78897872,8912.0107801
2018-12-24 04:00:00+00:00,128.12,128.42,126.92,127.17,69.72729219,8898.71871972
2018-12-24 05:00:00+00:00,127.53999998,128.17,126.16,128.09,227.88219835,28917.25132356
2018-12-24 06:00:00+00:00,128.39881178,130.63687442,128.21,129.66,516.41401854,66991.68914189
2018-12-24 07:00:00+00:00,128.61999997,129.84511173,127.185197,129.84511173,93.36572279,12022.34341592
2018-12-24 08:00:00+00:00,129.84511172,129.91,128.55173639,128.97999998,282.29247341,36399.82145891
2018-12-24 09:00:00+00:00,129.52889837,144.16,129.52889837,141.99430145,2603.02171868,359954.1148083
2018-12-24 10:00:00+00:00,143.0,147.5,140.77103416,146.1,715.51093954,102922.27621857
2018-12-24 11:00:00+00:00,146.1,148.51007647,144.0,147.90348585,2441.61033252,357220.62126078
2018-12-24 12:00:00+00:00,146.80537753,149.37552615,146.69241077,149.37552615,408.98068058,60604.97069643
2018-12-24 13:00:00+00:00,149.04877304,149.04877304,145.66816461,146.5,494.37238319,72643.28866283
2018-12-24 14:00:00+00:00,146.95020184,149.69241076,146.41779298,146.41779298,621.84375347,91669.44142947
2018-12-24 15:00:00+00:00,146.53842875,147.07808974,143.48123975,146.28614696,1165.56781795,169043.8507145
2018-12-24 16:00:00+00:00,146.24991689,146.634684,144.63208684,145.59158942,76.1225096,11079.58855992
2018-12-24 17:00:00+00:00,146.3647651,146.79451989,144.25000004,144.25000006,112.19157162,16355.80020022
2018-12-24 18:00:00+00:00,144.25000007,146.62888943,143.83897193,145.63993897,135.33109838,19636.80248798
2018-12-24 19:00:00+00:00,145.27138189,145.27138189,140.4,141.5,518.63328974,73831.03644566
2018-12-24 20:00:00+00:00,142.0,144.16,141.64028256,143.04499999,160.7490552,22982.32919775
2018-12-24 21:00:00+00:00,143.05,143.94,142.0,143.02,156.17252624,22379.3055344
2018-12-24 22:00:00+00:00,142.72,146.99999994,142.72,146.14000001,215.53950583,31169.89085394
2018-12-24 23:00:00+00:00,146.24,156.38755043,145.0,154.73008495,603.41741053,91499.27671474
2018-12-25 00:00:00+00:00,154.0,157.99999993,143.95258116,143.95258116,2158.88113509,329286.67124719
2018-12-25 01:00:00+00:00,144.76984275,148.3327362,142.61,145.72958804,1608.40461854,235349.75043104
2018-12-25 02:00:00+00:00,144.98418553,147.8940569,144.98418553,146.0,256.94042194,37551.08763204
2018-12-25 03:00:00+00:00,145.0089724,145.87572105,136.00000004,138.27875204,1117.21970792,156528.22983372
2018-12-25 04:00:00+00:00,138.27875204,138.27875204,131.42480352,136.37,1471.04175525,197631.68211512
2018-12-25 05:00:00+00:00,136.75,138.15,135.45256298,137.28,1066.15736711,144706.74413613
2018-12-25 06:00:00+00:00,136.8563282,142.23,136.8563282,142.12,389.41067603,54773.36643518
2018-12-25 07:00:00+00:00,141.06,141.7917556,138.91,140.9155539,148.98071144,20873.28909326
2018-12-25 08:00:00+00:00,140.11157801,144.0,135.64893534,138.53,299.61453406,41659.96150806
2018-12-25 09:00:00+00:00,138.87999999,138.91800001,127.0,128.8,2290.42312857,299726.71419226
2018-12-25 10:00:00+00:00,128.7,131.18,128.52,129.98,1423.94120599,184066.11491902
2018-12-25 11:00:00+00:00,129.98,130.99,128.1,129.33,560.34954231,72618.42830552
2018-12-25 12:00:00+00:00,129.98,130.46999999,122.81,123.38,3124.05901006,392561.35519965
2018-12-25 13:00:00+00:00,123.38,126.29639997,123.38,125.82,1672.43579031,208562.35242602
2018-12-25 14:00:00+00:00,126.1,128.32,125.7,126.35,337.80807452,42897.66231226
2018-12-25 15:00:00+00:00,126.86,127.22000003,124.905,125.7,243.73745939,30690.8838632
